Report_ID,Event_Date,Age,Nature,Establishment,Summary,Degree
0627500,09/08/2017,28,Cut/Laceration,Pioneer Energy Services,"At 10:00 a.m. on September 8, 2017, an employee was attaching a tag rope to  the 4.75 inch Non Magnetic Drill Collar of the Bottom Hole Assembly  that was  attached to a 4.75 inch lifting sub before it was put on the 4.5 inch Elevator  Slim Hole F/XT43 250 TON MGG Extreme Bore.  The employee reached over to grab  the tag rope while the Non Magnetic Drill Collar was being lifted by the  elevators.  The NMDC slipped out of the elevators and struck the employee in  the head and chest.  The employee sustained a fatal strike to the head and  chest from the tubular, and was pronounced dead on the scene when EMS arrived.",Fatality
0627510,08/31/2017,38,Fracture,Big Lake Services,"At 7:00 a.m. on August 31, 2017, an employee was cutting bands from a pipe  that was being removed.  The employee was struck by a traveling block when the  tubing lines snapped and the block dropped, killing the employee.",Fatality
0627510,08/28/2017,33,Other,"Frontier Drilling, Llc","At 5:30 p.m. on August 28, 2017, an employee was using a hammer to hit a pipe  wrench while on a ladder.  The employee was struck in the head by a spreader  beam pivot , crushing his skull.  The employee was killed due to blunt force  trauma.",Fatality
0627700,08/27/2017,30,Fracture,Unit Corporation,"At 1:30 a.m. on August 27, 2017, Employee #1 was holding a pair of tongs when  the crown caught the tong wire and pulled the employee into the air. The  employee fell 10 feet, and suffered broken ribs and a punctured lung. Employee  #1 was hospitalized for his injuries.",Hospitalized injury
0950647,08/24/2017,59,Other,"Ks Industries, Lp","At 1:17 p.m. on August 24, 2017, an employee was performing regular job duties  as a Welder's Helper. The employee became dizzy and almost fainted.  The  employee was hospitalized.",Hospitalized injury
0830500,08/24/2017,44,Other,M & M Excavation Co.,"At 7:30 p.m. on August 24, 2017, an employee was running hose for a water  supply.  A rough terrain forklift got stuck in in the mud and the employees on  site were attempting to pull it out. While attempting to remove a rough  terrain forklift from a irrigation pond, the forklift turned onto it's  drivers' side door and trapped the employee inside.  The water was  approximately 4 feet deep and the cab became filled.  This resulted in the  trapped employee drowning in the cab.",Fatality
0627510,08/20/2017,45,Other,"Twisted K Services, Inc.","At 3:45 p.m. on August 20, 2017, an employee was power washing the BOP and was  struck in the head by the V door.  The employee was killed.",Fatality
0626000,08/18/2017,28,Concussion,"Team Industrial Services, Inc.","At 10:30 a.m. on August 18, 2017, an employee was inserting a plug into an oil  & gas line.  The employee was struck in the head when a casual plug was  ejected due to overpressure and the employee was killed due to blunt force  trauma.",Fatality
0317500,08/15/2017,40,Burn/Scald(Heat),Rice Poseidon Midstream Llc.,"At 8:00 a.m. on August 15, 2017, two employees were working from a JLB lift,  welding steel support beams.  The Unit C207 compressor was shut down which  caused a release of natural gas from an exhaust pipe that was located a few  feet below the JLG lift basket.   The gas ignited by the welding above and  both employees suffered burn injuries to their necks and head.  One employee  was hospitalized.",Hospitalized injury
0950612,08/15/2017,23,Fracture,"Key Energy Services, Llc","At approximately 5:08 p.m. on August 15, 2017, a crew was in the process of  foaming a well.  The foaming is a maintenance process where a foaming agent is  forced, through a maintenance rig and under pressure, into an oil well to  clean it.  This requires repeated installation and removal of pipe sections as  the process moves to different levels of the well.  An employee was working as  a floor hand on the maintenance rig. The employees duties included the  assembly and disassembly and the installation and removal of sections of pipe  through which the pressurized foaming agent was injected. As the pipe sections  are inserted and removed, they are separated by the floor hand.  This is done  only when the pressure in the pipes are reduced to atmospheric.  The employee  separated the pipes while there was still pressure (approximately 500 psi)  inside.  This caused the contents to erupt from the pipe.  In an attempt to  flee this eruption, the employee climbed over the platform handrail and tried  to jump to the ground (approximately 6 feet) below.  This caused him to  fracture his left leg for which he was hospitalized.",Hospitalized injury
0626000,08/07/2017,67,Fracture,"Fesco, Ltd","At approximately 4:00 p.m. on August 7, 2017, an employee was verifying the  position of the counter weight cylinders. The employee fell from the counter  weights to the crane deck and received facial injuries. The employee was  hospitalized and treated for his injuries.",Hospitalized injury
0627510,08/04/2017,30,Burn(Chemical),Pacesetter Drilling Llc,"At approximately 2:30 p.m. on August 4, 2017, an employee was mixing caustic  soda to adjust the pH of the mud. As the employee was mixing the powder with  water in a mixing barrel, the powder reacted violently with the water causing  the mixture to bubble out of the barrel onto the employee. The employee  suffered chemical burns to both knees, wrists, and left bicep and was  hospitalized.",Hospitalized injury
0950643,08/04/2017,54,Cut/Laceration,Key Engergy Services,"At 10:52 a.m. on August 4, 2017, Employee #1 was on standby after connecting  piping and valves to Well Site #SPS-6. An oilfield service was on site testing  the well, while pressurized with nitrogen.  During the testing of the  pressurized wellhead, the piping and valves connected to the wellhead  ruptured. Employee #1 was struck by a two inch pipe fitting, fracturing his  arm. The employee was hospitalized due to injuries sustained.",Hospitalized injury
0950647,08/01/2017,35,Amputation,Kenai Drilling Limited,"At 8:00 p.m. on August 1, 2017, Employee #1 was assigned to work on a drilling  rig that was drilling for natural gas. The crews were engaged in tripping pipe  into the hole, which is the physical act of pulling the drill string out of  the wellbore and then running it back in. The previous Driller mentioned that  the clutch on the drilling rig was not working properly. Employee #1, the  Driller, and the Tool Pusher worked on greasing and repairing the clutch. The  Driller fully opened the discharge valve for the V-80 Parmac Hydromatic Brake,  preventing water from flowing through the brake system causing it to fail. The  Driller left the site without closing the discharge valve, and Employee #1 did  not check to ensure the discharge valve was properly set. The hydromatic brake  was not exerting enough braking force causing the blocks to continue to lower  rapidly. Employee #1 remained at his station while still trying to stop the  blocks with the brake. The employee yelled at the crew to get off the rig  floor, but he remained on the floor trying to stop the blocks. He was still at  the brake handle when the blocks stacked on the rig floor folded over towards  him. The blocks fell and pushed the weight indicator housing towards the brake  handle. The weight indicator housing caught Employee #1s right pinky finger  between the housing and the brake handle, severing the finger just past the  second knuckle.",Hospitalized injury
0627510,07/29/2017,47,Bruise/Contus/Abras,Eastham Drilling Inc.,"At 6:30 p.m. on Jilu 29, 2017, an employee was rigging up and was caught  between the ST-80 and the rig leg.  The employee received a lacerated kidney,  broken ribs, collapsed lung, for which he was hospitalized.",Hospitalized injury
0627510,07/29/2017,20,Fracture,"Norton Energy Drilling, L.L.C.","At 7:30 p.m. on July 29, 2017, Employee #1 was removing a cap to replace a  swab. The cap with a plug attached, came out of the pump together, but came  apart while the employee was still holding the cap. The cap and plug are large  and heavy, and made of metal. The plug struck Employee #1's hand and broke his  finger. The employee was hospitalized for his injury.",Hospitalized injury
0625700,07/29/2017,34,Fracture,Reliance Well Service Inc,"At 8:15 p.m. on July 29, 2017, Employee #1 was using a sledge hammer to loosen  a piece of pipe. The hammer deflected and smashed his right pinky finger  between the head of the hammer and the tubing tongs. Employee #1 was  hospitalized for his injury.",Hospitalized injury
0830300,07/26/2017,32,Amputation,Key Energy Services,"At 10:45 a.m. on July 26, 2017, Employee #1, working on an oil well, was  holding a pipe wrench for backups while tripping tubing out of the well. The  employee's hand became caught between the tongs and the pipe wrench,  amputating his finger.",Non Hospitalized injury
0524530,07/26/2017,37,Heat Exhaustion,"Foltz Welding, Ltd.","On July 26, 2017, an employee was assisting a coworker with completing a weld  on a 30 inch pipeline inside of a trench during a 90 degree day.  The employee  went back into the trench to remove some tools and began to feel ill.  The  employee also suffered with muscle cramps in his legs.  Emergency services  responded and the employee was transported to a local hospital.  The employee  was hospitalized for one day and treated for heat stress and exhaustion.",Hospitalized injury
0729700,07/25/2017,27,Amputation,Ww Drilling Llc,"At 10:00 a.m. on July 25, 2017, an employee grabbed a chain and caught their  right middle finger between the chain and spinning pole.  The employee  amputated his finger.",Non Hospitalized injury
0729700,07/25/2017,27,Amputation,Ww Drilling Llc,"At 10:00 a.m. on July 25, 2017, an employee was working for an oil or gas well  driller. He was walking on a drilling floor. He was helping take up slack in a  chain, when the chain tightened. His fingers were caught between the chain and  a chain pole. He sustained an amputation. The narrative did not state the  extent of the amputation.",Non Hospitalized injury
0419400,07/21/2017,38,Electric Shock,"Pitts Swabbing Service, Inc.","At 4:30 p.m. on July 21, 2017, an employee was working for a firm that drilled  oil and gas wells. The employee and possibly some coworkers were raising a  derrick to replace a section of cable that was damaged. As the derrick was  being raised, the employee was holding onto the end of the cable. At that  time, the top of the derrick came into contact with an energized overhead  power line. The narrative stated that the line was energized at a high  voltage. It did not elaborate. He received an electric shock, burns, and he  was hospitalized.",Hospitalized injury
0830500,07/18/2017,27,Fracture,"Ww Drilling, Llc","At 2:45 a.m. on July 18, 2017, an employee was setting up the tongs to break  off the lifting sub. The employee was struck by the make-up tong when the  driller spun the rotary table to help remove the tong from the pipe. The tong  struck the floor and the employee in the ribs.",Hospitalized injury
0627510,07/13/2017,42,Amputation,Integrity Services Llc,"At approximately 12:30 p.m. on July 13, 2017, Employee #1 and coworkers were  unloading pipe racks and drill collars from the trailer of a semi-truck. When  the employees were about to begin unloading everything, they released the  straps and took the guards off the trailer. Because the pipe racks were placed  on top of the drill collars, the pipe racks were then lifted so that the  straps could be removed.  When the pipe racks were lifted, the load shifted  and the equipment began to roll off the side of the trailer, resulting in one  of the pipe racks falling on Employee #1's leg. His leg was so badly injured  that doctors decided to amputate his lower leg. Employee #1 was transported to  a medical center, where he was hospitalized for treatment, including the lower  leg amputation and post-operative care and then released.",Hospitalized injury
0627510,07/08/2017,19,Heat Exhaustion,"Wade'S Inspection Services, Inc.","At 4:00 p.m. on July 8, 2017, an employee was assisting other employees with  cleaning threads on casing pipes using a pressure washer.  The employee felt  ill due to heat and later died.",Fatality
0830500,07/06/2017,21,Fracture,Rockwater Rockies L.L.C.,"At 3:45 p.m. on July 6, 2017, an employee was in the back of a pick-up truck  helping layout hose. The employee was using a 2 by 4 as a brake to control the  rotation of a Bazooka reel of hose in the back of the pick-up and the truck  was driving forward laying out hose. The employee was struck in the face by  the bazooka reel that was tipping back and forth and was caught between the  drivers side of the truck bed and bazooka reel.  A coworker transported the  employee to the North Colorado Medical Center and was treated for fractured  ribs and other contusions. The employee was hospitalized and treated for his  injuries.",Hospitalized injury
0627510,07/06/2017,27,Puncture,"Keane Frac, Lp","At 5:00 a.m. on July 6, 2017, an employee was standing on a platform looking  into the access hatch that housed the pressure hoses and lost his balance.  The employee fell onto a hose mount bracket and was stabbed, penetrating the  employee's thigh and buttocks.  The employee was hospitalized.",Hospitalized injury
0855610,07/04/2017,35,Other,Sst Energy Corporation,"At 7:10 p.m. on July 4, 2017, an employee was working on a flow line to test  the blow out preventer and stepped out onto the drip pan platform to continue  working on the connection.  The employee fell approximately 15 feet from the  drip pan platform and struck the floor, suffering a fractured skull.  The  employee was hospitalized as well.",Hospitalized injury
0625700,07/03/2017,50,Bruise/Contus/Abras,"Macro Companies, Inc. Of Delaware","At 10:45 a.m. on July 3, 2017, an employee was operating a bucket truck to  remove a manhole cover that was stuck.  The employee was thrown from the  bucket when it was struck by the manhole cover when it was released. The  employee  fell 25 feet to the concrete pad and suffered severe head trauma.  The employee was hospitalized and treated for his injuries.",Hospitalized injury
0830500,07/02/2017,43,Fracture,M&M Well Service Llc,"At 3:00 a.m. on July 2, 2017, an employee was working on an elevated platform  when a drill line broke and dropped the blocking configuration onto the rig  floor.  The employee tripped on a hole within the platform and fell  approximately 15 feet to the ground and landed on some iron piping.  The  employee sustained a broken rib and a chipped pelvis and was hospitalized.",Hospitalized injury
0626700,07/01/2017,27,Amputation,"E-Z Line Pipe Support Company, Llc","At 11:45 a.m. on July 1, 2017, an employee was adjusting the gears to lower a  table and coworker energized the equipment.  The employee caught his finger  within the equipment and it was amputated.  The employee was not hospitalized.",Non Hospitalized injury
0830500,07/01/2017,43,Amputation,"Trk Enterprises, Inc. ","At 4:00 a.m. on July 1, 2017, an employee was preparing the bales to rig down  casing tools.  The employee was using his hands to correct the alignment of  the bales on the rig floor when one of the bales that weighed approximately  600 lbs fell over and crushed the tip of his ring finger.  The employee  suffered a partial amputation of his finger and was hospitalized",Hospitalized injury
0627510,06/30/2017,19,Fracture,Dale Meyer Trucking Company,"At approximately 10:45 a.m. on June 30, 2017, an employee was rolling pipes  with his feet. Three pipes rolled over his foot and fracture his right ankle.  The employee was hospitalized and treated for his injuries.",Hospitalized injury
0627510,06/29/2017,61,Cut/Laceration,"Tri-State Oilfield Services, Inc.","At 5:45 p.m. on June 29, 2017, an employee was getting ready to pull out when  he ran into a trailer which then slammed into another parked semi-truck.  A  coworker then jumped into the cab of the employee's truck and found him  hunched over with a laceration along his leg.  The employee was killed in the  collision.",Fatality
0627510,06/29/2017,45,Concussion,Halliburton,"At 11:30 a.m. on June 29, 2017, an employee was performing routine checks of  the pumps by seeing how long the pumps had been running. While the employee  was checking the hours there was a malfunction in the pump that caused an  explosion. The employees was struck in the head with debris from the explosion  and was killed.",Fatality
0627510,06/29/2017,72,Concussion,Ref-Chem L.P.,"On June 29, 2017, Employee #1, employed by a construction services company,  was working at a training site.  He was removing guardrails from the top of a  confined space training module when he fell, a fall height of 12 feet.  He hit  his head upon impact.  Employee #1 was killed by the fall.",Fatality
0636900,06/27/2017,40,Puncture,Mlb Operating Services,"At 10:45 a.m. on June 27, 2017, an employee was chaining up the pump jack to  position it in place.The pump jack was top heavy and when a coworker started  the draw works, the pump jack flipped over, striking the employee on the back.  The employee was killed when struck by a pump jack and the counter weights.",Fatality
0830500,06/21/2017,20,Fracture,Halliburton Energy Services,"At 5:15 a.m. on June 21, 2017, an employee was disassembling a hammer union on  a pipe manifold while re-configuring a CBS unit for better alignment.  The  employee sustained a tibia fracture when the steel pipe manifold fell over  unexpectedly.",Hospitalized injury
0653510,06/19/2017,43,Concussion,"Wilbanks Trucking Services, Llc","At 3:30 p.m. on June 19, 2017, an employee was hoisting a cylinder on a  drilling rig site with the lines attached to a gin pole truck.  The employee  was struck a glancing blow in the head by the gin poles when the hoist lines  broke and was knocked into a 12 foot pit.  The employee suffered multiple  injuries to the head, back, spine, and foot.  The employee was hospitalized.",Hospitalized injury
0627500,06/18/2017,32,Cut/Laceration,Superior Energy Services Company,"At 7:15 a.m. on June 18, 2017, an employee working on high pressure pump.  The  employee placed hand in the value cylinder when the brake was released and the  plunger/value smashed his hand. The employee injured his wrist and first  knuckle of his left hand and was hospitalized.",Hospitalized injury
0626000,06/10/2017,45,Heat Exhaustion,"Patco Wireline Services, Inc.","At 10:00 p.m. on June 10, 2017, an employee was working in a confined space,  removing an obstruction from two well holes. He was unable to acclimatize to  the heat and began showing signs of heat illness to include cramps, nausea,  disorientation, and weakness. Despite complaining of such symptoms, the  employee was encouraged to continue work. No medical attention was provided.  After the job was complete, the employee was taken to his residence, where he  experienced convulsions approximately 1.5 hours of arrival and died.",Fatality
