Report_ID,Event_Date,Age,Time,Nature,Establishment,Summary,Degree
950633,2002-08-14,,9.0,Fracture,Southwest Pump & Drilling,"At approximately 8:30 a.m. on August 14, 2002, Employee #1 of Southwest Pump and Drilling was instructed to drop off a flatbed trailer, which was loaded with 24 steel pipes at the Coachella Valley Water District storage yard. When Employee #1 arrived at the site, a forklift operator told him to use a Caterpillar Number 806, Model Number V130, serial Number 3V10407, to unload the pipes. Employee #1 got out of the cab of the truck and started removing the nylon and chain straps that secured the pipes during the transport. He was on the right side of the flatbed trailer, bent over putting the straps inside the utility box when he heard a loud noise. The forklift operator was on the opposite side of the trailer attempting, with some difficulty, to get the forks between the pipes. He managed to get two pipes on the forklift and was tilting back when he noticed a pipe from the other side rolling underneath the trailer. The operator backed up, turned off his vehicle, and went around the trailer, where he found Employee #1 on the ground. He was struck by the steel pipe that rolled off the trailer. Employee #1 injured his right knee and sustained a complete tear of his right anterior cruciate ligament (ACL). He was hospitalized for three weeks.",Hospitalized injury
625700,2002-08-18,,3.0,Burn/Scald(Heat),Tetra Technologies Inc,"At approximately 3:00 a.m. on August 18, 2002, Employees #1 through #5 were flowing a well into a frac tank at the site of the Raymos Investment Number 1 Well, approximately 4 miles north of Pierre Part, Louisiana. Drilling had started on this well on February 26, 2002 and was completed on August 14, 2002. The rig was removed and completion work started the following day when the crew had begun to perforate the well. At a depth of approximately 75 feet, the wire line attached to the perforating gun gave out and the gun became hung up in the well head. The employer pumped methanol into the hole to free the perforating gun. The wire line rams cut both the electric and logging lines, causing the tools to fall to the bottom. The employer removed the tools before beginning to test the well, which started on the night of August 17 and continued into the morning of August 18. During the testing, oil and water from the well was flowed into the frac tanks near the well head. The frac tank containing the oil was approximately two-thirds full, meaning the capacity for vapor accumulation was severely reduced. At some point prior to the accident, Employee #5, the well testing contractor, gauged the frac tanks and determined that they were filling faster than expected. At approximately 2:30 a.m., a request was made to Settoon Industries, a local contractor, to have a suction truck come to the site to remove some of the fluids from the frac tanks. At about this same time, Employee #1, the drilling foreman, contacted Employee #2, the production technician, to come to the site to look at the problem. When Employee #2 arrived at the site, he was accompanied by his son, Employee #3. When the suction truck arrived at the site, Employee #4, the driver, was directed to position the truck with the rear of the tanker close to the frac tanks and the tractor angled toward the office trailers. The driver left the truck running and walked to the front of the frac tanks to speak with the other four workers. Employee #4 then turned and began to walk back to his truck when a flash fire ignited around the frac tank that contained the oil. All five employees sustained severe burns and were transported to the Burn Unit at the Baton Rouge General Hospital where they were hospitalized. Approximately 10 days later, Employee #4 died from complications of his injuries. Subsequent investigation into the cause of the fire determined that no one was smoking near the frac tank nor was anyone using a cell phone or two-way radios. The flare was operating at the time, but the 60 foot tall stack was located approximately 160 feet away. Prior to the flash, one witness observed a blue flame propagating near the base of the frac tank. It was hot and humid and, since there was no wind, hydrocarbon vapors were accumulating along the ground near the frac tanks, although the concentration of the vapors was less than the LEL. Because the flame proceeded toward the rear of the frac tank, this suggests that vapors were also escaping from a open hatch at the rear of the tank. The physical evidence indicated that when the fire reached the area of the rear hatch, the flame went vertical and up the side of the tank until the vapor concentration exceeded the LEL. On the inside of the frac tank, the inlet hose opening was flush with the top of the vessel. As oil flowed from the hose into the tank, a static charge developed at the opening since the oil was splash loaded and a ""T"" deflector or conductive down spout with a 45-degree bevel at the end was not installed near the end of the down spout. The vapor concentration inside the vessel was under the LEL and any static charge would not cause the vapor to explode until it exceeded the LEL. The two sources of hydrocarbons coupled with the perfect weather conditions suggests that it was only a matter of time before an explosion would occur. The origin of the blue flame was not determined. Employees #1 and #3 through #5 all had on cotton clot",Hospitalized injury
627100,2002-08-26,,,Fracture,Stephens Production Company,"On August 26, 2002, Employee #1 was working on the monkey board of an oil rig. He was reaching for a joint of pipe to place in the travel hook block when he lost his balance and fell 60 ft. He died as a result of his injuries. Employee #1 was wearing a safety harness with all the necessary hookups, but he had not attached the retractable lanyard to his harness.",Fatality
950643,2002-08-30,,,Other,Golden State Drilling Inc.,"On August 30, 2002, Employee #1 was part of a drill crew that was setting up drilling rig Number 16 at the AERA Energy Belridge Lease, well number five hundred and seventy-five, in McKittrick, CA. He was spotting for a forklift driver during placement of the rig's floor when he was told by the rig driller to go from the sump side to the roadside of the rig and to help coworkers install the ram pads. Employee #1 walked under the sub-base and came out on the road side at the same time that the forklift operator was backing up to the roadside. The forklift struck Employee #1, killing him. The forklift operator did not see Employee #1, and apparently, Employee #1 did not hear or see the forklift.",Fatality
950643,2002-09-16,,8.0,Burn/Scald(Heat),Oil Well Service Co.,"At approximately 7:30 a.m. on September 16, 2002, Employee #1, a head well puller for the Oil Well Service Company, and two coworkers were servicing rig 23 on the Merit Energy property in Bakersfield, CA. Employee #1 opened the blow-out prevention and bled the gas off the well before going to the rig and starting its diesel engine. He was walking away when the engine began to over speed. He returned to the rig to shut down the engine when it backfired and caught on fire. Employee #1 sustained burns on his right elbow, face, and his left forearm. Employee #1 was transported to Mercy Southwest Hospital in Bakersfield, where he was treated and released.",Non Hospitalized injury
636900,2002-09-24,,,Fracture,Patterson-Uti Drilling Co.,"Employee #1 was part of an oil well crew team. He was adding a joint of drilling pipe to the drill string during normal drilling operations when a coworker, who had just been shown by the driller how to use the driller's operational console, began operating the rig. The coworker stopped the rotary so Employee #1 could break the connection between the kelly and the drill string. After the connection was broken, Employee #1 began moving the tongs to the mousehole, while the coworker operating the rig attempted to raise the kelly so it could be moved to the mousehole and connected to the next joint. In the process, the coworker engaged the breakout cathead instead of the drum hoist. This activated the tong, which struck Employee #1 on the head, killing him.",Fatality
830500,2002-10-01,,,Cut/Laceration,Hayes Petroleum,"On October 1, 2002, Employee #1 was standing on a winch (drawworks) to reach across and close a brake cover on the far end of the winch, while working on an oil/gas drilling rig. While he was on the winch drum, the winch operator activated the winch which caused the winch drum to turn and the cable to slap as the drum started running. The motion of the drum and the action of the wire rope cable lacerated Employee #1's body and pulled him downwards between the drum and the winch frame, killing him. The cable crossed his body diagonally in an upward direction, which also caused his chest to be severely constricted. Although the brake bands on each end of the drawworks had covers, no guards were installed on the drum and cable to prevent injuries. Guarding over top of the winch drum would have kept an employee from standing directly on the drum and cable and from being pulled into the winch between the cable and drum. Prior to the accident, the brake band covers had been opened and the brakes adjusted without implementation of any lockout/tagout procedures. Appropriate lockout/tagout procedures, with the closure of brake covers to complete brake adjustment activities, would have eliminated employee exposure to winch/cable motion while the equipment was being operated.",Fatality
950625,2002-10-03,,,Fracture,Caza Drilling,"On October 3, 2002, an employee known as a pipe racker was working in the pipe bin approximately 4 feet below the walk platform on an oil well drilling rig. A 30-foot section of drilling pipe that was stored on the walk, that was not blocked or chocked, rolled off the edge of the platform and struck the employee in the right leg. The employee suffered a fractured ankle. He was taken to Hanford hospital for emergency treatment.",Hospitalized injury
653510,2002-10-21,,,Bruise/Contus/Abras,L & M Drilling,"On October 21, 2002, Employee #1 was making a drill stem connection. He was struck by the breakout tongs in the left shoulder and chest. Employee #1 was killed.",Fatality
950625,2002-10-22,,,Fracture,Coso Operating Co,"On October 22, 2002, Employee #1, an operator, was blowing condensate off of the pipe line through drop pots. The accident occurred in the field between two well pads on a 20-in. pipe line. To blow off the condensate, Employee #1 attached a 2-in. pipe with a 90-degree fitting to a straight piece of the pipe with a 45-degree fitting on the end. When Employee #1 opened the valve that had 100-psi pressure behind it, the pipe and fittings began to spin off of the pipe line because they were not tightened properly. The pipe and the fittings spun off and hit Employee #1 in the lower right leg causing a slight fracture. He was hospitalized at the Ridgecrest Hospital.",Hospitalized injury
626000,2002-10-22,,,Bruise/Contus/Abras,"Frank'S Casing Crew & Rental Tools, Inc.","On October 22, 2002, Employee #1 was working at the rear of a 1984 International Bobtail truck, Number 6, fixing the brake lights. When Employee #1 told a coworker to turn on the truck to see if the lights were working, the truck jumped backwards, running over Employee #1 and pinning Employee #2 between the rear of the truck and a van that was on jacks in the Southwest bay door of the shop. The coworker jumped in the truck and pulled it forward. Employee #1 was killed and Employee #2 sustained injuries to his back.",Non Hospitalized injury
653510,2002-10-24,,,Burn/Scald(Heat),"Banta Oilfield Service, Inc.","October 24, 2002, Employee #1 and several other coworkers working for Banta Oilfield Service, Inc. were repairing heater treater when it ignited, burning and scalding Employee #1, causing his death.",Fatality
626000,2002-10-28,,,Other,"Parchman Oilfield Services, Ltd.","On October 28, 2002, several employees were working at an oil rigging jobsite in Santa Fe, CA assisting in the process of retrieving oil for distribution. The oil was flowing from a well through a 2-inch, 15,000-pound flow line to a manual choke manifold, 22/64 choke, to a sand separator and then to sales. For some reason, the pressure had been dropping approximately 15-pounds to 25-pounds every hour. This pattern continued into the start of the night shift, having dropped a total of 400-pounds by 6:00 p.m. Further, the flow line and both sides of the manual choke manifolds became clogged, not allowing any natural gas to flow. A flow cross ""T"" was installed, containing a manual ""ACR"" (hydraulically operated) valve on each side near the center. On the east side of the flow cross ""T"" there was a continuous connection, extending to the ground level, of two additional 2-inch, 15,000-pound flow lines; Chic-san swivel connection with hammer connection unions; and pump truck. On the west side of the flow cross ""T"" a 2-inch, 15,000-pound flow line was extended in the direction of the hydraulic choke manifold, but was not connected. In addition, two manual valves, on each side of the center of the flow cross ""T"" were open, with only the ""HCR"" (hydraulically operated) valves being closed. Employee #1 began breaking the hammer connection at the Chic-san swivel in order to add another 2-inch, 15,000-pound flow line to the north side of the manual choke manifold. This process was meant to provide flow back through the manual choke manifold and up through the riser flow line to the second wing on the east side. For some reason, the hammer connection union at the Chic-san swivel connection was broken and unthreaded, causing a loud bang to occur. The 2-inch, 15,000-pound flow line riser kicked and was bent. Pressurized natural gas was violently released, striking Employees #1 and #2.",Non Hospitalized injury
950621,2002-10-28,,,Amputation,American International Mfg. Co.,"On October 28, 2002, Employee #1, a welder for a manufacturing company, was assisting a coworker in completing repairs to a radial arm drill press. The coworker locked out the press during initial repairs and unlocked the unit for testing purposes. Without relocking the press, Employee #1 and the coworker, positioned on either side of the press belt and pulley drive, began to install additional belts. The coworker accidentally rubbed against the power switch, placing the machine in the ON position. Employee #1's left hand got caught and was pulled into the machine. Employee #1 was transported to the Woodland Memorial Hospital and treated for his injury. Employee #1's left index finger was amputated.",Non Hospitalized injury
950643,2002-10-31,,9.0,Burn/Scald(Heat),Pool Well Services Co.,"At approximately 9:25 a.m. on October 31, 2002, Employee #1 and fellow crew members were working at Aera Anderson Goodwin well Number 28 in Fellows, California. The crew pumped water down the well to kill it, while they installed a BOP on the well. During the process, the pump ran out of water. The crew tried to close the BOP to close in the well. The BOP was not properly bolted to the well pipe flange nor was the pressure to close the rams at its proper level. The well fluids came to the surface and hot steam and fluid landed on Employee #1. He was transported to a private doctor in Bakersfield, where he was treated for second degree burns on his left shoulder, wrist and back.",Non Hospitalized injury
552652,2002-11-02,,,Burn/Scald(Heat),Key Energy,"Employee #1 and a coworker were performing a service operation at a crude oil storage tank facility. They were performing a tank rollover in which they pumped crude oil from a storage tank into a tanker truck where it was heated to separate out the water and then they pumped it back into the storage tank. The tank system had a flare stack to burn off accumulations of flammable gasses. Instead of connecting the truck to the line in the tank, the employees opened a hatch on top of the tank. This produced pressure to the flare causing it to go out. The unburned gasses then accumulate and migrated to a source of ignition which could have been the burners on the truck, the truck itself, or employees smoking in the area. An explosion occurred and Employee #1 was engulfed by the fire and killed.",Fatality
950621,2002-11-05,,1.0,Other,Paul Graham Drilling & Service Co,"At approximately 1:00 a.m. on November 5, 2002, a four-man crew was drilling a natural gas well. The crew was lifting a 30 foot section of drilling pipe. They had screwed a lifting eye into one end of the pipe and had a safety hook attached to it. As the winch began to lift the section of pipe, it separated from the lifting eye approximately five feet above the employee. The employee was struck in the left shoulder by the pipe and fell to the rig platform. A coworker transported the injured employee to Lodi Memorial Hospital. The initial injury assessment was a broken left collarbone and fractured right forearm. The employee remained in the hospital awaiting surgery on his arm. Complications arose and he was taken into surgery but did not survive. The coroner's report indicated cause of death to be blunt trauma.",Fatality
627700,2002-11-09,,16.0,Burn/Scald(Heat),S G Royalty Llc,"At approximately 4:00 p.m. on November 9, 2002, Employee #1 and his coworkers were servicing an oil well. Employee #1 was located in the basket of a service rig, working to guide a cable back onto a spool with a crowbar. For some reason, a flash fire occurred and burned Employee #1. Employee #1 was hospitalized and pronounced dead due to injuries sustained.",Fatality
950643,2002-11-16,,2.0,Burn/Scald(Heat),Caza Drilling (California) Inc.,"At approximately 2:20 a.m. on November 16, 2002, a five man crew was drilling on Rig Number 513 to a depth of approximately 1,280 ft. The drill pipe string had a drill bit consisting of three rotating pieces. The drill bit is wider than the diameter of the pipe. The parts of the oil drilling rig consist of a mud pump, stand pipe, kelly, drill pipe, annulus, drill collar bit, and mud pits with shaker boxes. As the bit drills the crew adds more pipe and pumps mud via the kelly down the center of the pipe. The mud lubricates the bit and acts as a medium for debris to be brought to the surface and it compresses any gas based on the weight of the mud. If the weight is too little the gases can escape. As the drill bit bores it creates a bore hole. The space between the outer surface of the pipe and the edge of the bore hole is called the annulus. As mud is pumped through the center of the pipe it comes out through the bit. All of the debri comes up with the mud coming up through the annulus. Once the depth had been reached, the crew started pulling up the drill pipe stem, five sections at a time or about 300 ft. Once they removed 300 ft, they would pump mud back into the bore hole to make up the volume difference. In order to remove the pipe stem, they must shut down the mud pumps. They were removing the pipe stem when they noticed the mud was starting to flow. The company man, who is in charge, ordered that the mud weight be decreased from 11 to 10.5 or 10.6 pounds per gallon. If an incorrect mud weight is used the mud will exert less pressure than the formation pressure within the zone and the gases will escape. At the bottom of the rig is a device called a blowout preventer, which consists of a set of rams that shuts the annulus keeping the gases from escaping. The immediate use of the blowout preventer is considered a hard shut in. A hard shut would be inappropriate since the gases would be blocked so abruptly the pressure could escape through the path of least resistance. The company man ordered a soft shut in, in the event of a kickback or blowout. The soft shut is a set of procedures that the rig crew undertakes to relieve the gas pressure. Unfortunately, the crew had only time to make one decision due to the shallowness of the well. Once the crew noticed the flow, they tried to stab the kelly onto the drill pipe stem so they could pump mud into the well. The pressure of the gases pushing up the mud was so great they could not screw the kelly onto the pipe. The kickback went uncontrolled and the blowout occurred, sending flames hundreds of feet into the air. Employee #1, a derrickman, who worked on the monkey board about 60 to 75 ft above grade, was burned beyond recognition and found on a ladder located on the derrick platform. They had an escape line, unfortunately it was made of combustible rope and it caught on fire. Employee #1 died. Employee #2 was hospitalized with severe burns.",Fatality
830500,2002-11-17,,,Other,Caza Drilling Inc.,"On November 17, 2002, while ""tripping"" back into the hole on a drilling rig, four employees were in the process of picking up a piece of drill string made up of three pieces of drill pipe. Employee #1 was working the uppermost portion of the drill string by working inside the ""monkeyboard"". For unknown reasons, Employee #1 was not utilizing the available fall protection system. He fell approximately 100 feet to the drilling floor below, suffering fatal injuries.",Fatality
627700,2002-12-19,,,Concussion,Morgan Well Service,"On December 19, 2002, an oil well service crew consisting of Employee #1 and 3 coworkers had completed the removal of 2.375-inch tubing out of an existing oil well that needed to be plugged due to bad casing. The crew was using a company owned 185,000 pound capacity telescoping derrick. A welding service company completed the welding of a 10-foot pull sub section of 4.5 inch N-80 casing pipe on the top of the existing casing pipe in the well. The weld included three reinforcing metal plates. The well service crew (plus one helper) started the extraction of some 9,176 feet of 4.5-inch casing pipe from the well. The derrick was set at 82,000 pound pull and connected to the pull sub pipe. A boomer chain was installed on the pull sub pipe to help free up the slips and bowl, and then removed. The casing was raised for removal of the slips and bowl assembly. As the casing and assembly was being moved over to rest on the well service pipe, the pull sub pipe broke due to metal failure (located just above the welded reinforcing metal plates). The pipe flew up and the casing and assembly fell back into the well. During the incident, Employee #1 was struck in the head by the pipe, killing him.",Fatality
950621,2002-12-21,,,Fracture,Hexadyne Drilling Corp.,"Employee #1 was working as a motorman for a company that drilled for natural gas. The survey equipment was used to keep the drilled hole in a vertical path during drilling. The survey equipment hoist line broke causing the survey system to fall. As the survey was being raised, it snagged the Bristol line. While attempting to clear the survey line from the Bristol line, the wind blew the survey line into the derrick, cutting the survey line while it was in the derrick. Employee #1's leg was fractured when the survey tool fell onto the drilling platform striking his leg.",Hospitalized injury
950643,2002-12-26,,14.0,Amputation,"Golden State Drilling, Inc.","At approximately 1:50 p.m. on December 26, 2002, Employee #1 was working on Oil Well Drilling Rig Number 1. While removing a tubular pipe at the V-door and drill rig floor, the lifter fell and struck him. The lifter hit him in the left hand, causing a partial amputation. An individual summoned emergency medical personnel. They arrived and transported him to a doctor's office and then onto a medical center. At the hospital, medical personnel surgically removed the top half of his little finger and provided other treatment and care for injuries sustained to his hand. He was hospitalized for postoperative care.",Hospitalized injury
830500,2003-01-02,,7.0,Other,"Cyclone Drilling, Inc.","At approximately 7:15 a.m. on January 2, 2003, Employee #1 was working on the rig platform floor of Rig Number 5. Employee #1 was struck on the head by a tong latch that slipped off the tong head jaws. Employee #1 suffered multiple head injuries including skull fractures. Employee #1 was hospitalized.",Hospitalized injury
626300,2003-01-02,,,Other,"Kirvard, Inc.",Employee #1 was leaving an oil well worksite after his shift when a dead tree fell onto his vehicle. Employee #1 was on the oil field road and the weather was fair. Employee #1 was killed.,Fatality
626600,2003-01-07,,,Other,Tuboscope,"On January 7, 2003, Employee #1 was standing between pipes on a pipe rack inside a building. The pipe rack was partially inside and outside the building. Employee #1 requested the forklift operator to push the pipes further onto the rack from the outside. The forklift operator could not see inside building. Employee #1 was struck by the forklift and crushed between sections of pipe. Employee #1 died of his injuries..",Fatality
627400,2003-01-08,,,Cut/Laceration,Schlumberger Oilfield Services,"On January 8, 2003, Employee #1 was working in close proximity (about 10 feet) to a pipe undergoing a pressure test. The pipe was filled with nitrogen and measured approximately 25 feet in length and had a diameter of 12 inches. During the pressure test, the pipe reached a pressure of 1550 psi. For some reason, the pipe exploded. Employee #1 was hospitalized and pronounced dead due to injuries sustained in the explosion.",Fatality
626700,2003-01-13,,,Burn/Scald(Heat),Blsr Operating Ltd,"Keywords: 
vapor, sump tank, fire, buried",Fatality
950643,2003-01-16,,15.0,Fracture,West Coast Casing Service,"At approximately 2:30 p.m. on January 16, 2003, Employee #1, a truck driver for West Coast Casing Service, was helping the owner build a gravel packing trailer. The employee was under the trailer doing some grinding. The owner removed the forklift and two jack stands which were helping hold up the trailer. He let the newly welded screw jack on the tongue to hold the load while he measured to place braces on the jack. The trailer shifted, the jack collapsed, and the trailer fell onto Employee #1. Emergency personnel were called, and the employee was transported to Kern Medical Center. Employee #1 sustained multiple injuries including eight broken ribs and was hospitalized.",Hospitalized injury
950643,2003-01-23,,9.0,Fracture,Poolwell Services Co.,"At approximately 9:00 a.m. on January 23, 2003, Employee #1, a rig hand, and several coworkers were attempting to tie down and move a rig to another well. As the rig operator lifted the stress off the mast, Employee #1 went on the driver's side of the rig and, for some reason, released the forward chain binder. Employee #1 was hit in the face, receiving a serious injury. He was hospitalized at Mercy Hospital in Bakersfield, California and treated for his injury.",Hospitalized injury
950643,2003-01-28,,8.0,Cut/Laceration,Caza Drilling (California) Co.,"At approximately 8:10 a.m. on January 28, 2003, Employee #1 and a coworker were moving the Blow-Out-Preventer on rig number 515. They were trying to secure the cart, using a chain binder and pipe extension. While trying to lock the binder in place there was an obstruction in the way. While his coworker attempted to move the object, Employee #1 held the binder and extension. The extension slipped, Employee #1 fell forward, and was hit in the face by the binder. Employee #1 was taken to Memorial Hospital in Bakersfield where he was admitted for less than 24 hours for oral surgery.",Hospitalized injury
950635,2003-01-29,,8.0,Strain/Sprain,Tank And Refinery Services Co Inc,"At 7:40 a.m. on January 29, 2003, Employee #1, a welder, and a coworker, a foreman, were repairing an incorrectly installed baffle inside a vertical Coker Tank that was under construction. The coworker held the bottom of a ladder while Employee #1 climbed up the ladder and under the baffle. Using a hammer, he knocked one of the improperly placed brackets off the wall. When he did this, that side of the baffle dropped, shock loading the chain fall system. The wall mounted nut failed, allowing the baffle to slide and drop even lower. His arm was pinned between the tank wall and the baffle and he was hit on the top of the head by the baffle. He received a laceration on his arm and he was hospitalized for 2 days. The employee was wearing a welding hood at the time of the accident.",Hospitalized injury
627100,2003-01-30,,,Fracture,Four R Leasing Llc,"Employee #1 was removing the walking beam of an oil pumping station that had been rigged with a chain suspended from a trac hoe bucket. He had removed three of four bolts from the saddle securing the beam to the structure. To remove the final bolt, the employee laid face down on the beam and slid between the bucket of the trac hoe and the beam. As the employee removed the bolt, the trac hoe operator raised the glass window in front of the operator's station to talk to the employee. While the operator was raising the glass window, he hit the controls for the bucket and the bucket moved, crushing the employee's pelvic/stomach region. Employee #1 was killed.",Fatality
950643,2003-02-03,,11.0,Burn/Scald(Heat),Southwest Contractors,"At approximately 10:30 a.m. on February 3, 2003, Employee #1 and a coworker working for Southwest Contractors, located at 2311 Basic School Rd., Maricopa, CA 93252, were working on a 24-ft oil pipeline. Employee #1 and the coworker went into the excavation area where the pipe was located. Employee #1 and the Coworker set up a cutting machine to cut the pipe behind the flange. As the machine was traveling 180 degrees around the pipe, the mud plug blew out and Employee #1 was burned on his right arm and hand. Employee #1 was transported to Sherman Oaks Burn Center, where he was admitted for treatment.",Hospitalized injury
950643,2003-02-05,,11.0,Other,Nabors Drilling Usa Lp,"At approximately 10:30 a.m. on February 5, 2003, Employee #1 and fellow crew members were moving an oil well drill rig. A crane had moved the ""A"" section of the drill rig leg onto a flat-bed truck. After an employee of H & B Equipment Co. Inc. chained down one side of the leg, the crane hook was released from the load. Employee #1 and the H & B Equipment employee got on the trailer to remove a ""C"" link which had stuck on the load. When the leg started to shift, the chain holding the load became slack, and the load fell off the truck. Employee #1 also fell off the trailer, was struck in the head by the load, and killed.",Fatality
950625,2003-02-25,,,Other,Pool Well Services Co,"On February 25, 2003, Employee #1 and other employees were servicing an oil field. The crew was installing sucker rods in the well when one 12 foot rod got hung up on the table. When it sprang loose, it hit the clamp that held the elevator and caused it to fall. The elevator struck Employee #1 on the hard hat and left shoulder. Employee #1 was taken to Memorial Hospital where he was hospitalized for his injuries.",Hospitalized injury
625700,2003-02-26,,15.0,Other,Blr Companies,"At approximately 3:00 p.m. on February 26, 2003, Employees #1 and two coworkers were using an excavator to lift large wooden mats from a barge to a truck trailer on the dock. A wire rope sling was attached to the hook on the excavator bucket to lift the mat. Employee #1 was standing next to the trailer and was responsible for removing the slings after the mats were placed on the trailer. A coworker, the truck driver, was standing on the other side of the trailer across from Employee #1. While moving one of the mats, the sling broke loose and struck Employee #1, killing him.",Fatality
950625,2003-03-01,,,Other,"Arb, Inc","On March 1, 2003, Employee #1, a pipe fitter, was working in an excavation below a backhoe that was being used to lift a piece of pipe for the pipe fitters. When the operation was complete the backhoe operator raised his outriggers but had left the backhoe in reverse so when the tires hit the ground, the backhoe fell into the excavation striking and killing Employee #1.",Fatality
627400,2003-03-03,,,Other,Ncx Inc,An employee was welding on an 80-barrel tanker. The tank exploded and killed the employee.,Fatality
